ÁÖß ˆ ̄ÖÃÖ3ÖÖ ̄Ö×ŸÖ : Ûéú ̄ÖμÖÖ ‡®ÖÛêú †®Öã ̄Öæ ̧üÛú  ̄ÖÏ¿®Ö ÛúÖ ˆ¢Ö ̧ü ¤üß×•Ö‹...	श्री उपसभाषति : देखिए।...(व्यवधान)...कुछ भी अभिलिखित नहीं होगा। यह नहीं
3ÖÖ ̧üŸÖ 3Öß ¿ÖÖ× ́Ö»Ö Æîü...  ́ÖÆüÖê¤üμÖ, “ÖÖμÖ 2ÖÖê›Ôü Ûúß ×3⁄4Ö×3Ö®®Ö μÖÖê•Ö®ÖÖ‹Ó Æïü †Öî ̧ü ‹Ûú 2ÖÆãüŸÖ Æüß	पुलिस स्टेशन स्थापित किए जाएंगे, उनको कितनी नौकाएं दी जाएंगी, और, उनको किस
́ÖÆüŸ3⁄4Ö ̄ÖæÞÖÔ “Öß•Ö μÖÆü  ̧üÆüß Æîü ×Ûú †2Ö Æü ́ÖÖ ̧êü 3ÖÖîÝÖÖê×»ÖÛú ÃÖÓÛêúŸÖÛú †×¬ÖÛúÖÓ¿ÖŸÖ: ˆ®Ö Ã£ÖÖ®ÖÖë  ́Öë	प्रकार की सहायता दी जाएगी। इस योजना का वित्तपोषण भारत सरकार द्वारा किया
Æïü •ÖÆüÖÓ 3ÖÖ ̧üŸÖßμÖ TMüß ́Ö Ûúß ×3⁄4Ö¿ÖêÂÖŸÖÖ†Öë ÛúÖê 3ÖÖîÝÖÖê×»ÖÛú ÃÖÓÛêúŸÖÛúÖë Ûêú †®ŸÖÝÖÔŸÖ ¿ÖÖ× ́Ö»Ö ×ÛúμÖÖ	जाता है। लगभग पांच वर्षों के लिए, पेट्रोल के खर्चे भी दिए जाएंगे। केवल उन
•ÖÖ  ̧üÆüÖ Æîü... •ÖÆüÖÓ ŸÖÛú ¤ü×õÖÞÖß 3ÖÖ ̧üŸÖßμÖ “ÖÖμÖ ÛúÖ ÃÖÓ2ÖÓ¬Ö Æîü, 3⁄4ÖÆü Æü ́ÖÖ ̧êü ×3⁄4Ö¿ÖêÂÖÖê§êü¿ÖßμÖ “ÖÖμÖ	पुलिसकर्मियों का वेतन राज्यों द्वारा दिया जाएगा जिनको वहां तैनात किया जाएगा।
×®Ö×¬Ö ÛúÖ ×ÆüÃÃÖÖ ÆüÖê®Öê •ÖÖ  ̧üÆüß Æîü •ÖÖê 3⁄4ÖÆüÖÓ 3Öß Æîü, †Öî ̧ü •ÖÖê ˆŸ ̄ÖÖ¤ü®Ö 2ÖœÍüÖ‹ÝÖÖ... ‡ÃÖÃÖê	श्री बसंत चव्हाण : महोदय, मेरे प्रश्न का उत्तर नहीं दिया गया है। महोदय, यह
ˆŸ ̄ÖÖ¤ü®Ö 2ÖœÍêüÝÖÖ... ÃÖÖ£Ö Æüß ÃÖÖ£Ö, ×®ÖμÖÖÔŸÖ ÝÖ×ŸÖ×3⁄4Ö×¬ÖμÖÖë Ûêú ×»Ö‹ “ÖÖμÖ 2ÖÖê›Ôü «üÖ ̧üÖ ˆšüÖ‹ •ÖÖ	बाम्बे और कोंकण के तटीय क्षेत्रों के बारे में है...(व्यवधान)...
̧üÆêü Ûú¤ü ́ÖÖë ÃÖê, ×®ÖμÖÖÔŸÖ  ̄ÖÏÖêŸÃÖÖÆü®Ö Ûêú ×»Ö‹, Æü ́ÖÖ ̧üß  ̄Öæ ̧üß ˆ ́ ́Öß¤ü Æîü ×Ûú †Ö®Öê 3⁄4ÖÖ»Öê 3⁄4ÖÂÖÖí  ́Öë	श्री जयन्ती लाल बरोट : उपसभापति जी, हमारा गुजरात का क्वैश्चन है।...(व्यवधान)...
Æü ́ÖÖ ̧üß “ÖÖμÖ ÛúÖ ×®ÖμÖÖÔŸÖ 2ÖœÍêüÝÖÖ...	श्री शिवराज वी. पाटिल : महोदय, मैं...(व्यवधान)...के तटीय क्षेत्रों की बात कर
ÁÖß ¤üß ̄ÖÖÓÛú ̧ü  ́ÖãÜÖ•Öá :  ́ÖÆüÖê¤üμÖ,  ́ÖãôÖê ŸÖã ̧ÓüŸÖ Æüß “ÖÖμÖ Ûúß ˆŸ ̄ÖÖ¤ü®Ö »ÖÖÝÖŸÖ 2Ö®ÖÖ ́Ö	रहा हूं। मैं गुजरात और महाराष्ट्र के बारे में बात कर रहा हूं...(व्यवधान)...
3⁄4Öî×¿3⁄4ÖÛú Ûúß ́ÖŸÖ Ûêú 2ÖÖ ̧êü  ́Öë 2ÖÖŸÖ“ÖßŸÖ Æãü‡Ô...  ́ÖÖ®Ö®ÖßμÖ  ́ÖÓ¡Öß •Öß ®Öê  ̧üÖ•μÖ ÃÖ ̧üÛúÖ ̧ü ÃÖê Æãü‡Ô	श्री जयन्ती लाल बरोट : उपसभापति जी, गुजरात के...(व्यवधान)
† ̄Ö®Öß “Ö“ÖÖÔ †Öî ̧ü ÃÖ2Ö Ûãú”û ÛúÖ ˆ»»ÖêÜÖ ×ÛúμÖÖ... †Ö•ÖÛú»Ö “Öß®Ö Ûêú 2ÖÖ ̧êü  ́Öë, ˆÃÖÛêú  ́ÖÖ›ü»Ö	श्री उपसभाषति : यह क्या बात है? यह क्वैश्चन आवर है। गुजरात का कहां से
ÛúÖ †®ÖãÃÖ ̧üÞÖ Ûú ̧ü®Öê †Ö×¤ü Ûêú 2ÖÖ ̧êü  ́Öë 2ÖÆãüŸÖ 2ÖÖŸÖ ÆüÖê  ̧üÆüß Æîü... •Ö2Ö×Ûú ÁÖ× ́ÖÛú 3Öß •ÖÖê×ÜÖ ́Ö	आया?....(व्यवधान)...बरोट जी, यह क्या बात है? क्वेश्चन ऑवर में गुजरात कहां से आ
ˆšüÖ®Öê 3⁄4ÖÖ»ÖÖë  ́Öë ÃÖê ‹Ûú Æïü, ˆŸ ̄ÖÖ¤ü®Ö »ÖÖÝÖŸÖ Ûêú  ́Öã§êü  ̄Ö ̧ü  ̄ÖÏ ́ÖãÜÖ Ûêú®¦üßμÖ TMÒêü›ü μÖæ×®ÖμÖ®ÖÖë Ûêú	गया? यह क्वेश्चन ऑवर है, मुझे समझ में नहीं आता कि आप क्या चाहते हैं? क्वेश्चन
ÃÖÖ£Ö “Ö“ÖÖÔ Ûúß •ÖÖ®Öß “ÖÖ×Æü‹... Æü ́Ö®Öê Ûú‡Ô 2ÖÖ ̧ü ÛúÆüÖ £ÖÖ - (ÃÖê®TMü ̧ü †Öò±ú) ‡Ó×›üμÖ®Ö TMÒêü›ü	ऑवर में क्या चाहते हैं आप? आपको जब आइडेंटिफाई किया जाएगा, आप उसी वक्त
ÁÖß 1ý¦ü®ÖÖ ̧üÖμÖÞÖ  ̄ÖÖ×ÞÖ :  ́Öï ÃÖ3⁄4ÖÖ»Ö  ̄Ö ̧ü †ÖŸÖÖ ÆæÓü...	क्वेश्चन पूछ सकते हैं, ऐसे नहीं पूछ सकते। बैठ जाइए।
ÁÖß ˆ ̄ÖÃÖ3ÖÖ ̄Ö×ŸÖ : †Ö ̄Ö ÃÖ3⁄4ÖÖ»Ö  ̄Ö ̧ü †Ö‡‹...	श्री रुद्रनारायण पाणि : मैं सवाल पर आता हूं |
ÁÖß 1ý¦ü®ÖÖ ̧üÖμÖÞÖ  ̄ÖÖ×ÞÖ :  ́ÖÆüÖê¤üμÖ, “ÖÖμÖ Ûêú ‰ú ̄Ö ̧ü ‹Ûú ÃÖ3⁄4ÖÖ»Ö  ̄Ö ̧ü †Ö ̄Ö 26 × ́Ö®ÖTMü »Öê	श्री उपसभापति : आप सवाल पर आइए।
»ÖêŸÖê Æïü...(3⁄4μÖ3⁄4Ö¬ÖÖ®Ö)	श्री रुद्रनारायण पाणि : महोदय, चाय के ऊपर एक सवाल पर आप 26 मिनट ले
ÁÖß ˆ ̄ÖÃÖ3ÖÖ ̄Ö×ŸÖ : †Ö ̄Ö ÃÖ3⁄4ÖÖ»Ö  ̄Öæ×”û‹... μÖÆüÖÓ  ̄Ö ̧ü 15  ́Öî ́2ÖÃÖÔ ÃÖ3⁄4ÖÖ»Ö  ̄Öæ”û®Öê Ûêú ×»Ö‹	लेते हैं...(व्यवधान)
2Öîšêü Æïü, †Ö ̄Ö ÃÖ3⁄4ÖÖ»Ö  ̄Öæ×”û‹...	श्री उपसभापति : आप सवाल पूछिए। यहां पर 15 मैम्बर्स सवाल पूछने के लिए
ÁÖß 1ý¦ü®ÖÖ ̧üÖμÖÞÖ  ̄ÖÖ×ÞÖ :  ́ÖÆüÖê¤üμÖ, 3⁄4Öê ÃÖÓÃÖ¤ü Ûêú  ̄ÖÏ3ÖÖ3⁄4Öß ÃÖ¤ü®Ö Ûêú †¬μÖõÖ  ̧üÆü “ÖãÛêú Æïü...	बैठे हैं, आप सवाल पूछिए।
ÁÖß ˆ ̄ÖÃÖ3ÖÖ ̄Ö×ŸÖ : ¤êü×ÜÖ‹, †ÝÖ ̧ü †Ö ̄Ö ÃÖ3⁄4ÖÖ»Ö ®ÖÆüà  ̄Öæ”û  ̧üÆêü Æïü, ŸÖÖê...(3⁄4μÖ3⁄4Ö¬ÖÖ®Ö)...†ÝÖ ̧ü	श्री रुद्रनारायण पाणि : महोदय, वे संसद के प्रभावी सदन के अध्यक्ष रह चुके हैं।
†Ö ̄Ö ÃÖ3⁄4ÖÖ»Ö ®ÖÆüà  ̄Öæ”û®ÖÖ “ÖÖÆüŸÖê Æïü, ŸÖÖê 2ÖÖê»Ö ¤üß×•Ö‹...	श्री उपसभापति : देखिए, अगर आप सवाल नहीं पूछ रहे हैं, तो...(व्यवधान)...अगर
ÁÖß 1ý¦ü®ÖÖ ̧üÖμÖÞÖ  ̄ÖÖ×ÞÖ : ÃÖ ̧ü,  ́Öï ÃÖ3⁄4ÖÖ»Ö  ̄Ö ̧ü †ÖŸÖÖ ÆæÓü...	आप सवाल नहीं पूछना चाहते हैं, तो बोल दीजिए।
ÁÖß ˆ ̄ÖÃÖ3ÖÖ ̄Ö×ŸÖ : †Ö ̄Ö ÃÖ3⁄4ÖÖ»Ö  ̄Ö ̧ü †Ö‡‹...	श्री रुद्रनारायण पाणि : सर, मैं सवाल पर आता हूं |
ÁÖß 1ý¦ü®ÖÖ ̧üÖμÖÞÖ  ̄ÖÖ×ÞÖ : ÃÖ ̧ü, ‡ŸÖ®Öê  ̄ÖÏ3ÖÖ3⁄4Öß †ÖÃÖ®Ö  ̄Ö ̧ü 2Öîšêü Æãü‹  ́ÖÓ¡Öß •Öß †ÝÖ ̧ü μÖÆü	श्री उपसभापति : आप सवाल पर आइए।
ÛúÆëüÝÖê ×Ûú Æü ́ÖÖ ̧üß  ̄Öã×»ÖÃÖ, ŸÖã ́ÆüÖ ̧üß  ̄Öã×»ÖÃÖ, ŸÖÖê μÖÆü ÝÖ»ÖŸÖ 2ÖÖŸÖ Æîü...  ́ÖÆüÖê¤üμÖ, ÝÖéÆü  ́ÖÓ¡Öß ¤êü¿Ö	श्री रुद्रनारायण पाणि : सर, इतने प्रभावी आसन पर बैठे हुए मंत्री जी अगर यह
Ûúß ÃÖÖ ̧üß  ̄Öã×»ÖÃÖ...(3⁄4μÖ3⁄4Ö¬ÖÖ®Ö)...	कहेंगे कि हमारी पुलिस, तुम्हारी पुलिस, तो यह गलत बात है। महोदय, गृह मंत्री देश
ÁÖß ˆ ̄ÖÃÖ3ÖÖ ̄Ö×ŸÖ :  ̄ÖÖ×ÞÖ •Öß, †Ö ̄Ö ÃÖ3⁄4ÖÖ»Ö  ̄Öæ”ûŸÖê Æïü μÖÖ ®ÖÆüà...(3⁄4μÖ3⁄4Ö¬ÖÖ®Ö)...†Ö ̄Ö	की सारी पुलिस...(व्यवधान)...
ÃÖ3⁄4ÖÖ»Ö  ̄Öæ×”û‹...(3⁄4μÖ3⁄4Ö¬ÖÖ®Ö)... ́Öï  ́ÖÖ®Ö®ÖßμÖ ÃÖ¤üÃμÖ ÃÖê ÃÖÆüμÖÖêÝÖ Ûú ̧ü®Öê ÛúÖ †®Öã ̧üÖê¬Ö Ûú ̧üŸÖÖ ÆæÓü...  ́Öï	श्री उपसभापति : पाणि जी, आप सवाल पूछते हैं या नहीं...(व्यवधान)...आप
‡ÃÖê  ̄ÖÏ¿®Ö ÛúÖ»Ö  ́Öë ®ÖÆüà “ÖÖÆüŸÖÖ...(3⁄4μÖ3⁄4Ö¬ÖÖ®Ö)...Ûéú ̄ÖμÖÖ ÃÖ3ÖÖ ̄Ößšü ÛúÖê ×®ÖμÖ ́Ö®Ö Ûú ̧ü®Öê ¤ëü...(3⁄4μÖ3⁄4Ö¬ÖÖ®Ö)...	सवाल पूछिए...(व्यवधान)...मैं माननीय सदस्य से सहयोग करने का अनुरोध करता हूं। मैं
ÁÖß ‹ÃÖ.‹ÃÖ. †Æü»Öã3⁄4ÖÖ×»ÖμÖÖ : ×•ÖÃÖ ŸÖ ̧üÆü ÃÖê  ́ÖÓ¡Öß •Öß ®Öê •Ö3⁄4ÖÖ2Ö ×¤üμÖÖ...(3⁄4μÖ3⁄4Ö¬ÖÖ®Ö)...	इसे प्रश्न काल में नहीं चाहता...(व्यवधान)...कृपया सभापीठ को नियमन करने दें...(व्यवधान)...
ÁÖß ˆ ̄ÖÃÖ3ÖÖ ̄Ö×ŸÖ : ÁÖß †Æü»Öã3⁄4ÖÖ×»ÖμÖÖ •Öß,  ́Öï †Ö ̄ÖÃÖê †®Öã ̧üÖê¬Ö Ûú ̧üŸÖÖ ÆæÓü ×Ûú †Ö ̄Ö	श्री एस.एस. अहलुवालिया : जिस तरह से मंत्री जी ने जवाब दिया...(व्यवधान)...
ÃÖ3ÖÖ ̄Ößšü ÛúÖê ×®ÖμÖ ́Ö®Ö Ûú ̧ü®Öê ¤ëü...(3⁄4μÖ3⁄4Ö¬ÖÖ®Ö)...Ûéú ̄ÖμÖÖ ÃÖ3ÖÖ ̄Ößšü ÛúÖê ×®ÖμÖ ́Ö®Ö Ûú ̧ü®Öê ¤ëü...(3⁄4μÖ3⁄4Ö¬ÖÖ®Ö)...	श्री उपसभाषति : श्री अहलुवालिया जी, मैं आपसे अनुरोध करता हूं कि आप
× ́Ö.  ̄ÖÖ×ÞÖ, †ÝÖ ̧ü †Ö ̄Ö Œ3⁄4Öî¿“Ö®Ö ®ÖÆüà  ̄Öæ”û®ÖÖ “ÖÖÆüŸÖê Æïü, ŸÖÖê ”ûÖê›Íü ¤üß×•Ö‹...	सभापीठ को नियमन करने दें...(व्यवधान)...कृपया सभाषीठ को नियमन करने दें...(व्यवधान)...
ÁÖß 1ý¦ü®ÖÖ ̧üÖμÖÞÖ  ̄ÖÖ×ÞÖ : ®ÖÆüà, ®ÖÆüà... ÃÖ ̧ü,  ́Öï  ̄ÖÏ¿®Ö  ̄Ö ̧ü †ÖŸÖÖ ÆæÓü...	मि. पाणि, अगर आप क्वैश्चन नहीं पूछना चाहते हैं, तो छोड दीजिए।
ÁÖß ˆ ̄ÖÃÖ3ÖÖ ̄Ö×ŸÖ : †Æü»Öã3⁄4ÖÖ×»ÖμÖÖ •Öß, †Ö ̄Ö...(3⁄4μÖ3⁄4Ö¬ÖÖ®Ö)...†Ö ̄Ö ÆüÃŸÖõÖê ̄Ö ŒμÖÖë Ûú ̧ü  ̧üÆêü	श्री रुद्रनारायण पाणि : नहीं, नहीं। सर, मैं प्रश्न पर आता हूं |
Æïü? ÃÖ3ÖÖ ̄Ößšü † ̄Ö®ÖÖ † ̄Ö®ÖÖ ÛúÖ ́Ö Ûú ̧êüÝÖÖ... Ûéú ̄ÖμÖÖ  ́ÖãôÖê ‡ÃÖê Ûú ̧ü®Öê ¤ëü... †Ö ̄Ö 2ÖÖê×»Ö‹...(3⁄4μÖ3⁄4Ö¬ÖÖ®Ö)...	श्री उपसभाषपति : अहलुवालिया जी, आप...(व्यवधान)...आप हस्तक्षेप क्यों कर रहे
ÁÖß 1ý¦ü®ÖÖ ̧üÖμÖÞÖ  ̄ÖÖ×ÞÖ :  ́ÖÆüÖê¤üμÖ,...(3⁄4μÖ3⁄4Ö¬ÖÖ®Ö)...	हैं? सभापीठ अपना अपना काम करेगा। कृपया मुझे इसे करने दें। आप बोलिए...(व्यवधान)...
›üÖ.  ́Öã ̧ü»Öß  ́Ö®ÖÖêÆü ̧ü •ÖÖê¿Öß :  ́ÖÆüÖê¤üμÖ,  ́Öê ̧üÖ ‹Ûú ×®Ö3⁄4Öê¤ü®Ö Æîü... Æü ́Ö †Ö ̄ÖÃÖê †Ö¿ÖÖ Ûú ̧üŸÖê	श्री रुद्रनारायण पाणि : महोदय,...(व्यवधान)...
Æïü ×Ûú †Ö ̄Ö ÃÖ¤üÃμÖÖë ÛúÖ  ̧üõÖÞÖ Ûú ̧ëüÝÖê... †Ö ̄ÖÃÖê μÖÆü †Ö¿ÖÖ ®ÖÆüà Ûúß •ÖÖŸÖß ×Ûú †Ö ̄Ö Ûêú3⁄4Ö»Ö	डा. मुरली मनोहर जोशी : महोदय, मेरा एक निवेदन है। हम आपसे आशा करते
́ÖÓ×¡ÖμÖÖë ÛúÖ  ̧üõÖÞÖ Ûú ̧ëüÝÖê... Æü ́ÖÖ ̧üÖ †Ö ̄ÖÃÖê †®Öã ̧üÖê¬Ö Æîü ×Ûú †Ö ̄Ö ÃÖ¤üÃμÖÖë ÛúÖ  ̧üõÖÞÖ Ûú ̧ëü...	हैं कि आप सदस्यों का रक्षण करेंगे। आपसे यह आशा नहीं की जाती कि आप केवल
ÁÖß ˆ ̄ÖÃÖ3ÖÖ ̄Ö×ŸÖ : ¤êü×ÜÖ‹, †Ö ̄Ö “ÖêμÖ ̧ü Ûúß  ́Öã×¿Ûú»Ö ÛúÖê 3Öß  ̄ÖÆü“ÖÖ×®Ö‹... μÖÆüÖÓ  ̄Ö ̧ü	मंत्रियों का रक्षण करेंगे। हमारा आपसे अनुरोध है कि आप सदस्यों का रक्षण करें।
20-25  ́Öî ́2ÖÃÖÔ ‡ÃÖ ÃÖ3⁄4ÖÖ»Ö  ̄Ö ̧ü •Ö3⁄4ÖÖ2Ö “ÖÖÆüŸÖê Æïü...  ́ÖãôÖê ÃÖ2ÖÛúÖê † ̄ÖÖò“ÖãÔ×®ÖTMüß ¤êü®Öß Æîü... †ÝÖ ̧ü	श्री उपसभापति : देखिए, आप चेयर की मुश्किल को भी पहचानिए। यहां पर
ÁÖß Ûú ́Ö»Ö ®ÖÖ£Ö :  ́ÖÆüÖê¤üμÖ,  ̄Ö ̧ü ́ ̄Ö ̧üÖÝÖŸÖ “ÖÖμÖ Ûêú ×»Ö‹ ‘ÖÖê×ÂÖŸÖ ×Ûú‹ ÝÖ‹  ̄ÖîÛêú•Ö  ́Öë,	20-25 मैम्बर्स इस सवाल पर जवाब चाहते हैं। मुझे सबको देनी है। अगर
»ÖÝÖ3ÖÝÖ 3.75 »ÖÖÜÖ 1ý ̄Ö‹ Ûúß  ̧üÖ•ÖÃÖÆüÖμÖŸÖÖ ÆêüŸÖã ¤üÖ3⁄4Öê Ûêú ×»Ö‹ †ÃÖ ́Ö ÃÖê 196 †Ö3⁄4Öê¤ü®Ö	श्री रवि शंकर प्रसाद : और भी दो प्रश्न थे जो मैंने पुछे थे - कितने प्रमुख
̄ÖÏÖ ̄ŸÖ Æãü‹ Æïü... ÃÖ2ÖÃÖê †×¬ÖÛú ÃÖÓÜμÖÖ  ́Öë •ÖÆüÖÓ ÃÖê  ̄ÖÏÖ ̄ŸÖ Æãü‹, 3⁄4ÖÆü Æîü †ÃÖ ́Ö †£ÖÖÔŸÖ 196	आतंकवादी समूह दक्षिणी भारत में कार्यरत हैं, उनके विरुद्ध क्या कार्रवाई की गई है,
†Ö ̄ÖÛêú ÃÖÓÛêúŸÖ Ûêú ×»Ö‹  ̄Ö×¿“Ö ́Öß 2ÖÓÝÖÖ»Ö ÃÖê 28 †Öî ̧ü ¤üÖÙ•ÖØ»ÖÝÖ ÃÖê 95 †Ö3⁄4Öê¤ü®Ö  ̄ÖÏÖ ̄ŸÖ Æãü‹...	और विदेशियों विषयक अधिनियम में क्या संशोधन किया गया है। इनका उत्तर दिया ही
